path,currentPPN,newPPN
/customer-success-stories/aaa-northeast-case-study,Experience Cloud,REMOVE
/customer-success-stories/abb-case-study,Experience Cloud,Commerce
/customer-success-stories/academy-of-art-case-study,Experience Cloud,Creative Cloud for Enterprise
/customer-success-stories/accent-group-ecommerce-case-study,Experience Cloud,Commerce
/customer-success-stories/aci-worldwide-case-study,Experience Cloud,Learning Manager
/customer-success-stories/adobe-campaign-orchestration-case-study,Experience Cloud,REMOVE
/customer-success-stories/adobe-connect-elearning-case-study,Experience Cloud,Connect
/customer-success-stories/adobe-content-hub-case-study,Experience Cloud,REMOVE
/customer-success-stories/adobe-digital-experiences-case-study,Experience Cloud,REMOVE
/customer-success-stories/adobe-digital-legal-workflow-case-study,Experience Cloud,Acrobat Sign
/customer-success-stories/adobe-digital-onboarding-case-study,Experience Cloud,Acrobat Sign
/customer-success-stories/adobe-digital-university-case-study,Experience Cloud,Learning Manager
/customer-success-stories/adobe-embed-case-study,,Creative Cloud for Enterprise
/customer-success-stories/adobe-inside-adobe-case-study,Experience Cloud,REMOVE
/customer-success-stories/adobe-legal-case-study,Experience Cloud,Acrobat Sign
/customer-success-stories/adobe-on-adobe-intranet-case-study,Experience Cloud,REMOVE
/customer-success-stories/adobe-promo-case-study,Experience Cloud,Workfront
/customer-success-stories/adobe-summit-2023-case-study,Experience Cloud,REMOVE
/customer-success-stories/adobe-xml-case-study,Experience Manager/XML Documentation Add-on for Adobe Experience Manager,Experience Manager Guides
/customer-success-stories/adp-workfront-case-study,Experience Cloud,Workfront
/customer-success-stories/aftia-case-study,Experience Cloud,REMOVE
/customer-success-stories/airbus-case-study,Experience Cloud,Acrobat Sign
/customer-success-stories/aisg-case-study,Experience Cloud,Acrobat
/customer-success-stories/al-ghandi-case-study,Experience Cloud,Commerce
/customer-success-stories/alma-case-study,Experience Cloud,Marketo Engage
/customer-success-stories/alshaya-group-case-study,Experience Cloud,Commerce
/customer-success-stories/altisource-case-study,Experience Cloud,Marketo Engage
/customer-success-stories/americord-case-study,Experience Cloud,Marketo Engage
/customer-success-stories/analogic-case-study,Experience Cloud,Learning Manager
/customer-success-stories/aon-hewitt-case-study,Experience Cloud,Learning Manager
/customer-success-stories/apollo-tyres-case-study,Experience Cloud,REMOVE
/customer-success-stories/ariel-case-study,Experience Cloud,Experience Manager Guides
/customer-success-stories/armor-case-study,Experience Cloud,Creative Cloud for Enterprise
/customer-success-stories/asics-case-study,Experience Cloud,Experience Manager Assets
/customer-success-stories/asus-case-study,Experience Cloud,Commerce
/customer-success-stories/avidxchange-case-study,Experience Cloud,Marketo Engage
/customer-success-stories/avionte-case-study,Experience Cloud,Acrobat Sign
/customer-success-stories/bank-of-new-zealand-case-study,Experience Cloud,Marketo Engage
/customer-success-stories/barilla-case-study,Experience Cloud,Commerce
/customer-success-stories/bbva-case-study,Experience Cloud,REMOVE
/customer-success-stories/bbva-workfront-case-study,Experience Cloud,Workfront
/customer-success-stories/ben-and-jerrys-case-study,Experience Cloud,REMOVE
/customer-success-stories/benefytt-case-study,Experience Cloud,Acrobat Sign
/customer-success-stories/biomedica-case-study,Experience Cloud,Commerce
/customer-success-stories/blackmores-case-study,Experience Cloud,REMOVE
/customer-success-stories/bmw-group-case-study,Experience Cloud,REMOVE
/customer-success-stories/bmw-group-france-case-study,Experience Cloud,Acrobat Sign
/customer-success-stories/bny-mellon-case-study,Experience Cloud,REMOVE
/customer-success-stories/boots-case-study,Experience Cloud,REMOVE
/customer-success-stories/border-states-case-study,Experience Cloud,Learning Manager
/customer-success-stories/bose-case-study,Experience Cloud,REMOVE
/customer-success-stories/brand-safety-institute-case-study,Experience Cloud,Learning Manager
/customer-success-stories/bridgestone-case-study,Experience Cloud,REMOVE
/customer-success-stories/briggs-stratton-case-study,Experience Manager/XML Documentation Add-on for Adobe Experience Manager,Experience Manager Guides
/customer-success-stories/bsi-case-study,Experience Cloud,Learning Manager
/customer-success-stories/bt-sign-case-study,Experience Cloud,Acrobat Sign
/customer-success-stories/bt-sport-case-study,Experience Cloud,REMOVE
/customer-success-stories/ca-assembly-case-study,Experience Cloud,Creative Cloud for Enterprise
/customer-success-stories/cal-state-fullerton-case-study,Experience Cloud,REMOVE
/customer-success-stories/cal-state-fullerton-case-study1,Experience Cloud,REMOVE
/customer-success-stories/cambridge-assessment-case-study,Experience Cloud,Acrobat
/customer-success-stories/camelot-3pl-case-study,Experience Cloud,Learning Manager
/customer-success-stories/canon-usa-case-study,Experience Cloud,REMOVE
/customer-success-stories/carmax-case-study,Experience Cloud,REMOVE
/customer-success-stories/carnegie-hall-case-study,Experience Cloud,Creative Cloud for Enterprise
/customer-success-stories/casio-case-study,Experience Cloud,REMOVE
/customer-success-stories/catbird-case-study,Experience Cloud,Commerce
/customer-success-stories/cats-protection-case-study,Experience Cloud,Acrobat Sign
/customer-success-stories/cbre-case-study,Experience Cloud,Creative Cloud for Enterprise
/customer-success-stories/center-parcs-case-study,Experience Cloud,REMOVE
/customer-success-stories/change-healthcare-case-study,Experience Cloud,Experience Manager Forms
/customer-success-stories/charles-schwab-case-study,Experience Cloud,Marketo Engage
/customer-success-stories/chemours-case-study,Experience Cloud,Marketo Engage
/customer-success-stories/chg-workfront-case-study,Experience Cloud,Workfront
/customer-success-stories/chhaya-prakashani-case-study,Stock,Creative Cloud for Enterprise
/customer-success-stories/chipotle-case-study,Creative Cloud,Creative Cloud for Enterprise
/customer-success-stories/cibc-case-study,Experience Cloud,REMOVE
/customer-success-stories/ciena-asset-management-case-study,Experience Cloud,Experience Manager Guides
/customer-success-stories/ciena-case-study,Experience Cloud,Creative Cloud for Enterprise
/customer-success-stories/cisco-case-study,Experience Cloud,REMOVE
/customer-success-stories/city-county-denver-case-study,Experience Cloud,Creative Cloud for Enterprise
/customer-success-stories/city-of-sacramento-case-study,Experience Cloud,REMOVE
/customer-success-stories/coca-cola-case-study,Experience Cloud,Creative Cloud for Enterprise
/customer-success-stories/coca-cola-personalization-case-study,Experience Cloud,REMOVE
/customer-success-stories/code-case-study,Experience Cloud,Creative Cloud for Enterprise
/customer-success-stories/cognizant-case-study,Experience Cloud,Creative Cloud for Enterprise
/customer-success-stories/cohelion-case-study,Experience Cloud,REMOVE
/customer-success-stories/columbia-shipmanagement-case-study,Experience Cloud,Learning Manager
/customer-success-stories/commvault-case-study,Experience Cloud,Marketo Engage
/customer-success-stories/compensar-case-study,Experience Cloud,Acrobat Sign
/customer-success-stories/comviva-case-study,Experience Cloud,Creative Cloud for Enterprise
/customer-success-stories/creative-reaction-lab-case-study,Experience Cloud,Creative Cloud for Enterprise
/customer-success-stories/csu-case-study,Experience Cloud,Express​
/customer-success-stories/cxc-case-study,Experience Cloud,Creative Cloud for Enterprise
/customer-success-stories/dccu-case-study,Experience Cloud,Campaign
/customer-success-stories/dche-case-study,Experience Cloud,Connect
/customer-success-stories/delta-and-kin-case-study,Experience Cloud,Stock
/customer-success-stories/dentsu-case-study,Experience Cloud,Express
/customer-success-stories/destination-imagination-case-study,Experience Cloud,Learning Manager
/customer-success-stories/devro-workfront-case-study,Experience Cloud,Workfront
/customer-success-stories/dicks-sporting-goods-case-study,Experience Cloud,REMOVE
/customer-success-stories/dominos-case-study,Experience Cloud,Learning Manager
/customer-success-stories/drager-case-study,Document Cloud,Acrobat Sign
/customer-success-stories/edf-case-study,Experience Cloud,Acrobat Sign
/customer-success-stories/edmunds-case-study,Experience Cloud,Learning Manager
/customer-success-stories/egencia-case-study,Experience Cloud,Marketo Engage
/customer-success-stories/electronics-for-imaging-case-study,Experience Cloud,Marketo Engage
/customer-success-stories/elektrobit-case-study,Experience Cloud,Acrobat Sign
/customer-success-stories/empowered-case-study,Experience Cloud,Creative Cloud for Enterprise
/customer-success-stories/esri-case-study,Experience Cloud,REMOVE
/customer-success-stories/esri-workfront-case-study,Experience Cloud,Workfront
/customer-success-stories/evisort-case-study,Experience Cloud,Acrobat
/customer-success-stories/ey-case-study,Experience Cloud,REMOVE
/customer-success-stories/f5-case-study,Experience Cloud,Marketo Engage
/customer-success-stories/facebook-gaming-case-study,Experience Cloud,Stock
/customer-success-stories/fcb-workfront-case-study,Experience Cloud,Workfront
/customer-success-stories/firstservices-residential-case-study,Experience Cloud,Learning Manager
/customer-success-stories/fis-case-study,Experience Cloud,Marketo Engage
/customer-success-stories/foodservicedirect-case-study,Experience Cloud,Commerce
/customer-success-stories/fsr-connect-case-study,Experience Cloud,REMOVE
/customer-success-stories/ftd-case-study,Experience Cloud,REMOVE
